Date,Ticker,Last_Close,Predicted_Next_Close,Predicted_Change_$,Predicted_Change_%
2025-11-13,AMZN,250.18,246.41,-3.77,-1.51
2025-11-19,AMZN,228.1,225.05,-3.05,-1.34
2025-11-22,AMZN,216.35,227.31,10.96,5.07
2025-11-22,AMZN,216.35,226.09,9.74,4.5
2025-11-29,AMZN,231.24,224.73,-6.51,-2.82
2025-12-03,AMZN,235.01,239.33,4.32,1.84
2025-12-06,AMZN,230.32,228.83,-1.49,-0.65
2025-12-10,AMZN,226.84,224.19,-2.65,-1.17
2025-12-12,AMZN,230.71,227.77,-2.94,-1.28
2025-12-13,AMZN,230.02,228.74,-1.28,-0.55
2025-12-18,AMZN,224.66,225.19,0.53,0.24
2025-12-20,AMZN,226.76,227.24,0.48,0.21
2025-12-20,AMZN,226.76,229.27,2.51,1.11
2025-12-25,AMZN,232.13,226.45,-5.68,-2.44
2025-12-27,AMZN,232.04,226.38,-5.66,-2.44
2026-01-03,AMZN,231.34,228.52,-2.82,-1.22
2026-01-06,AMZN,228.84,228.8,-0.04,-0.02
2026-01-07,AMZN,232.1,230.67,-1.43,-0.62
2026-01-08,AMZN,239.61,230.13,-9.48,-3.96
2026-01-10,AMZN,244.57,244.82,0.25,0.1
2026-01-13,AMZN,246.73,232.15,-14.58,-5.91
2026-01-16,AMZN,239.31,245.09,5.78,2.42
2026-01-17,AMZN,239.09,241.16,2.07,0.86
2026-01-17,AMZN,239.09,235.13,-3.96,-1.66
2026-01-21,AMZN,233.76,238.04,4.28,1.83
2026-01-28,AMZN,239.69,234.85,-4.84,-2.02
2026-02-04,AMZN,244.98,238.4,-6.58,-2.69
2026-02-07,AMZN,202.7,238.29,35.59,17.56
2026-02-11,AMZN,208.8,233.38,24.58,11.77
2026-02-14,AMZN,198.88,206.81,7.93,3.99
2026-02-14,AMZN,198.88,211.41,12.53,6.3
2026-02-14,AMZN,198.88,203.89,5.01,2.52
2026-02-20,AMZN,203.8,200.5,-3.3,-1.62
2026-03-03,AMZN,204.55,208.6,4.05,1.98
2026-03-11,AMZN,214.19,213.6,-0.59,-0.28
2026-03-12,AMZN,215.71,212.62,-3.09,-1.43
2026-03-17,AMZN,208.35,213.18,4.83,2.32
